CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
12431,1,14,358.25,5,3,4,Potential Loyalist
12433,1,73,1919.1399999999999,5,5,5,Champions
12583,1,20,855.86,5,4,5,Champions
12662,1,15,261.48,5,3,2,Potential Loyalist
12748,1,1,4.95,5,1,1,Recent Users
12791,1,2,192.60000000000002,5,1,2,Recent Users
12838,1,59,390.79,5,5,4,Champions
12868,1,12,203.3,5,3,2,Potential Loyalist
12921,1,15,322.40000000000003,5,3,3,Potential Loyalist
12947,1,17,304.04,5,3,3,Potential Loyalist
13047,1,17,366.63,5,4,4,Champions
13065,1,14,205.86,5,3,2,Potential Loyalist
13093,1,13,799.4,5,3,5,Potential Loyalist
13255,1,6,225.7,5,2,2,Potential Loyalist
13408,1,11,1024.68,5,2,5,Potential Loyalist
13448,1,18,443.96000000000004,5,4,4,Champions
13468,1,20,360.05,5,4,4,Champions
13694,1,6,842.12,5,2,5,Potential Loyalist
13705,1,10,318.14,5,2,3,Potential Loyalist
13747,1,1,79.6,4,1,1,Promising
13748,1,1,204.0,4,1,2,Promising
13758,1,17,362.45,4,4,4,Champions
13767,1,14,507.88,4,3,5,Potential Loyalist
13777,1,33,6585.16,4,5,5,Champions
14001,1,9,301.24,4,2,3,Potential Loyalist
14045,1,1,326.4,4,1,3,Promising
14078,1,13,136.24,4,3,1,Potential Loyalist
14142,1,22,311.81,4,4,3,Champions
14237,1,9,161.0,4,2,1,Potential Loyalist
14307,1,48,783.11,4,5,5,Champions
14496,1,5,304.34000000000003,4,1,3,Promising
14594,1,31,255.0,4,4,2,Champions
14606,1,40,198.32,4,5,2,Champions
14688,1,19,444.98,4,4,4,Champions
14696,1,18,294.62,4,4,3,Champions
14729,1,71,313.49,4,5,3,Champions
14849,1,17,355.84000000000003,4,4,4,Champions
14911,1,21,555.38,3,4,5,Loyal Customers
15012,1,54,191.06,3,5,2,Loyal Customers
15100,1,1,350.4,3,1,3,About To Sleep
15165,1,27,487.75,3,4,4,Loyal Customers
15291,1,2,328.8,3,1,3,About To Sleep
15311,1,35,449.98,3,5,4,Loyal Customers
15350,1,5,115.65,3,1,1,About To Sleep
15485,1,23,950.09,3,4,5,Loyal Customers
15513,1,3,357.0,3,1,4,About To Sleep
15525,1,57,313.93,3,5,3,Loyal Customers
15605,1,12,194.85000000000002,3,3,2,Needs Attention
15862,1,64,354.23,3,5,3,Loyal Customers
15922,1,11,369.5,3,2,4,About To Sleep
15983,1,32,440.89,3,4,4,Loyal Customers
16029,1,8,3702.12,3,2,5,About To Sleep
16048,1,8,256.44,3,2,2,About To Sleep
16098,1,12,430.6,3,3,4,Needs Attention
16210,1,14,2474.7400000000002,3,3,5,Needs Attention
16218,1,28,471.3,2,4,4,Can't Lose Them
16250,1,14,226.14,2,3,2,Hibernating
16274,1,67,357.95,2,5,4,Can't Lose Them
16456,1,16,787.4,2,3,5,Hibernating
16539,1,21,442.34999999999997,2,4,4,Can't Lose Them
16552,1,5,95.29,2,1,1,Lost
16583,1,14,233.45,2,3,2,Hibernating
16928,1,6,116.25,2,2,1,Hibernating
16955,1,6,156.1,2,2,1,Hibernating
17025,1,5,160.97,2,1,1,Lost
17069,1,11,277.05,2,2,2,Hibernating
17181,1,2,155.52,2,1,1,Lost
17346,1,35,146.61,2,5,1,Can't Lose Them
17377,1,15,223.9,2,3,2,Hibernating
17420,1,7,130.85,2,2,1,Hibernating
17460,1,1,19.9,2,1,1,Lost
17511,1,24,1825.74,2,4,5,Can't Lose Them
17572,1,4,70.80000000000001,2,1,1,Lost
17643,1,8,101.55,1,2,1,Hibernating
17690,1,14,376.8,1,3,4,Hibernating
17760,1,9,172.54,1,2,1,Hibernating
17809,1,1,34.8,1,1,1,Lost
17841,1,65,537.38,1,5,5,Can't Lose Them
17850,1,84,1499.3400000000001,1,5,5,Can't Lose Them
17873,1,9,215.14999999999998,1,2,2,Hibernating
17897,1,35,165.89,1,5,1,Can't Lose Them
17905,1,23,201.75,1,4,2,Can't Lose Them
17908,1,58,243.28,1,5,2,Can't Lose Them
17920,1,81,514.41,1,5,5,Can't Lose Them
17924,1,2,279.0,1,1,3,Lost
17951,1,5,295.5,1,1,3,Lost
17968,1,85,277.35,1,5,3,Can't Lose Them
18074,1,13,489.6,1,3,5,Hibernating
18085,1,9,303.9,1,2,3,Hibernating
18144,1,3,165.04999999999998,1,1,1,Lost
18229,1,7,344.2,1,2,3,Hibernating
